zcrtname,zstate1,zcity3,推理,省,市,地区
China,guangdong,futian district,guangdong指广东，无需修改。futian district指广东深圳的福田区，属于深圳，深圳是地级市，返回shenzhen。将原输入市futian district填充到地区,guangdong,shenzhen,futian district
China,guangdong,dongguan,guangdong指广东，无需修改。dongguan指东莞，东莞是地级市，符合格式要求，无需修改。输入没有提供地区名，填充为null。,guangdong,dongguan,null
China,guangdong,No Data,guangdong指广东，无需修改。市信息为No Data，无法识别具体城市或地区，保持原样。,guangdong,No Data,null
China,guangdong,yuexiu district,guangdong指广东，无需修改。yuexiu district指广州市越秀区，广州是地级市，返回guangzhou。将原输入市yuexiu district填充到地区。,guangdong,guangzhou,yuexiu district
China,jiangsu,xinwu district,jiangsu指江苏，无需修改。xinwu district指无锡市新吴区，无锡是地级市，返回wuxi。将原输入市xinwu district填充到地区。,jiangsu,wuxi,xinwu district
China,shandong,shibei district,shandong指山东，无需修改。shibei district指青岛市市北区，青岛是地级市，返回qingdao。将原输入市shibei district填充到地区。,shandong,qingdao,shibei district
China,jiangsu,kunshan,jiangsu指江苏，无需修改。kunshan指昆山，昆山是县级市，所属地级市是苏州，返回suzhou。将原输入市kunshan填充到地区。,jiangsu,suzhou,kunshan
China,guangxi zhuang,haicheng district,guangxi zhuang指广西壮族自治区，但haicheng district不属于广西任何地级市，信息不足，保持原样。,guangxi zhuang,haicheng district,null
China,anhui,shushan district,anhui指安徽，无需修改。shushan district指合肥市蜀山区，合肥是地级市，返回hefei。将原输入市shushan district填充到地区。,anhui,hefei,shushan district
China,beijing,shunyi district,beijing指北京，直辖市，无需修改。shunyi district指北京市顺义区，直接返回beijing。将原输入市shunyi district填充到地区。,beijing,beijing,shunyi district
China,chongqing,yubei district,chongqing指重庆，直辖市，无需修改。yubei district指重庆市渝北区，直接返回chongqing。将原输入市yubei district填充到地区。,chongqing,chongqing,yubei district
China,guangdong,baoan district,guangdong指广东，无需修改。baoan district指深圳市宝安区，深圳是地级市，返回shenzhen。将原输入市baoan district填充到地区。,guangdong,shenzhen,baoan district
China,shanghai,shanghai,shanghai指上海，直辖市，无需修改。市信息为shanghai，即上海市本身，无需修改。输入没有提供地区名，填充为null。,shanghai,shanghai,null
China,henan,linzhou,henan指河南，无需修改。linzhou指林州市，林州是县级市，所属地级市是安阳，返回anyang。将原输入市linzhou填充到地区。,henan,anyang,linzhou
China,hunan,furong district,hunan指湖南，无需修改。furong district指长沙市芙蓉区，长沙是地级市，返回changsha。将原输入市furong district填充到地区。,hunan,changsha,furong district
China,jiangsu,suzhou,jiangsu指江苏，无需修改。suzhou指苏州，苏州是地级市，符合格式要求，无需修改。输入没有提供地区名，填充为null。,jiangsu,suzhou,null
China,sichuan,pidu district,sichuan指四川，无需修改。pidu district指成都市郫都区，成都为地级市，返回chengdu。将原输入市pidu district填充到地区。,sichuan,chengdu,pidu district
China,hainan,haikou,hainan指海南，无需修改。haikou指海口，海口是地级市，符合格式要求，无需修改。输入没有提供地区名，填充为null。,hainan,haikou,null
China,hubei,guanshan,hubei指湖北，无需修改。guanshan信息不足以确定其归属哪个地级市，保持原样。,hubei,guanshan,null
China,hainan,lingao county,hainan指海南，无需修改。lingao county指临高县，临高县隶属于儋州市（现为海南省直辖县级行政单位），返回danzhou。将原输入市lingao county填充到地区。,huanan,danzhou,lingao county
China,jiangxi,xihu district,jiangxi指江西，无需修改。xihu district指南昌市西湖区，南昌是地级市，返回nanchang。将原输入市xihu district填充到地区。,jiangxi,nanchang,xihu district
China,guangdong,guangzhou,guangdong指广东，无需修改。guangzhou指广州，广州是地级市，符合格式要求，无需修改。输入没有提供地区名，填充为null。,guangdong,guangzhou,null
China,guangdong,panyu district,guangdong指广东，无需修改。panyu district指广州市番禺区，广州是地级市，返回guangzhou。将原输入市panyu district填充到地区。,guangdong,guangzhou,panyu district
China,guangdong,sanshui district,guangdong指广东，无需修改。sanshui district曾属于佛山市三水区，佛山是地级市，返回foshan。将原输入市sanshui district填充到地区。,guangdong,foshan,sanshui district
